-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2004 through 01/01/2025 in LST
Location: latitude  13.3959   longitude 79.9808 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 69.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,IMERG_PRECTOT,WS10M
2004,1,1,3.9312,24.11,27.57,21.74,-999.0,4.17
2004,1,2,4.3985,23.45,27.6,20.79,-999.0,3.8
2004,1,3,4.823,23.16,27.45,19.77,-999.0,4.14
2004,1,4,4.6817,23.49,27.61,20.39,-999.0,4.35
2004,1,5,3.901,23.74,27.07,20.95,-999.0,4.31
2004,1,6,3.8537,24.14,28.02,21.27,-999.0,4.31
2004,1,7,3.1819,23.95,27.9,21.04,-999.0,4.51
2004,1,8,5.1002,23.68,28.16,20.57,-999.0,5.12
2004,1,9,4.6944,23.28,27.69,20.15,-999.0,5.45
2004,1,10,5.0935,23.37,27.88,20.22,-999.0,5.16
2004,1,11,5.7653,22.89,27.72,19.53,-999.0,4.0
2004,1,12,5.616,22.99,27.97,19.68,-999.0,3.21
2004,1,13,5.7187,23.05,28.06,19.82,-999.0,3.02
2004,1,14,5.8094,23.46,29.05,19.45,-999.0,2.46
2004,1,15,5.8771,23.55,29.04,19.64,-999.0,2.44
2004,1,16,5.9131,23.26,28.56,19.48,-999.0,2.51
2004,1,17,5.754,23.45,28.7,19.63,-999.0,2.68
2004,1,18,5.9225,23.45,28.69,19.74,-999.0,2.53
2004,1,19,5.8073,23.4,28.48,20.26,-999.0,2.7
2004,1,20,5.6786,23.6,28.31,20.34,-999.0,3.12
2004,1,21,5.5152,24.56,29.26,21.22,-999.0,3.37
2004,1,22,5.3482,25.12,29.65,21.83,-999.0,3.56
2004,1,23,4.9229,25.3,29.54,22.22,-999.0,3.99
2004,1,24,3.8635,25.46,29.85,22.47,-999.0,3.73
2004,1,25,4.8372,25.68,29.87,22.86,-999.0,3.41
2004,1,26,4.7215,24.11,25.64,22.69,-999.0,2.24
2004,1,27,4.4251,25.37,29.65,22.23,-999.0,3.18
2004,1,28,4.7268,25.51,29.29,22.99,-999.0,4.45
2004,1,29,4.9738,25.7,29.69,22.94,-999.0,4.28
2004,1,30,4.8588,25.77,30.53,22.66,-999.0,3.59
2004,1,31,5.2774,25.54,30.48,22.13,-999.0,3.12
2004,2,1,4.5398,25.26,29.93,22.39,-999.0,2.69
2004,2,2,5.1168,25.12,29.81,22.09,-999.0,3.37
2004,2,3,5.4782,25.48,30.32,22.23,-999.0,3.75
2004,2,4,5.208,25.94,30.81,22.57,-999.0,3.61
2004,2,5,4.9291,26.24,30.89,23.07,-999.0,3.82
2004,2,6,5.0537,26.54,31.86,22.64,-999.0,3.59
2004,2,7,2.9798,26.19,30.34,23.34,-999.0,2.86
2004,2,8,5.6942,25.26,29.76,22.29,-999.0,4.21
2004,2,9,5.509,24.88,29.86,21.68,-999.0,3.97
2004,2,10,5.9201,24.37,29.46,20.61,-999.0,4.24
2004,2,11,6.1526,24.09,29.29,20.39,-999.0,3.66
2004,2,12,6.2563,24.18,29.54,20.4,-999.0,4.25
2004,2,13,6.1591,24.31,29.61,20.1,-999.0,4.97
2004,2,14,6.3012,24.56,29.98,20.52,-999.0,4.66
2004,2,15,6.414,24.64,30.47,20.8,-999.0,3.37
2004,2,16,6.3142,24.42,30.16,20.31,-999.0,3.32
2004,2,17,6.366,24.88,30.28,21.17,-999.0,3.76
2004,2,18,6.3324,25.2,30.68,21.43,-999.0,3.78
2004,2,19,6.3034,25.34,31.79,20.52,-999.0,3.14
2004,2,20,6.3521,25.64,32.12,20.65,-999.0,3.24
2004,2,21,6.4759,25.61,31.77,21.11,-999.0,3.3
2004,2,22,6.659,25.73,31.77,21.49,-999.0,3.17
2004,2,23,6.6833,26.26,32.77,21.08,-999.0,2.86
2004,2,24,6.7577,26.13,32.83,21.08,-999.0,3.11
2004,2,25,6.576,26.03,32.92,20.3,-999.0,2.98
2004,2,26,6.8364,26.29,33.41,20.15,-999.0,3.33
2004,2,27,6.6948,26.35,33.84,20.58,-999.0,3.49
2004,2,28,6.7142,26.14,33.86,20.31,-999.0,3.5
2004,2,29,6.9245,25.87,33.66,19.56,-999.0,3.56
2004,3,1,6.5671,26.08,32.95,20.14,-999.0,3.48
2004,3,2,6.6852,27.07,34.36,21.06,-999.0,3.28
2004,3,3,6.6677,27.45,35.05,21.64,-999.0,3.66
2004,3,4,6.8126,27.48,34.69,22.21,-999.0,3.73
2004,3,5,7.1551,26.71,34.88,20.52,-999.0,3.48
2004,3,6,7.1561,26.75,34.95,20.06,-999.0,3.2
2004,3,7,6.7298,27.19,35.19,20.76,-999.0,3.81
2004,3,8,6.4354,26.95,32.7,22.36,-999.0,4.43
2004,3,9,6.7634,27.51,32.67,23.96,-999.0,4.6
2004,3,10,6.053,27.57,33.01,23.81,-999.0,3.71
2004,3,11,6.9499,27.8,33.43,23.61,-999.0,3.77
2004,3,12,6.7334,28.0,34.25,23.67,-999.0,3.39
2004,3,13,6.8549,28.32,34.57,23.25,-999.0,2.92
2004,3,14,6.8359,28.67,34.88,23.69,-999.0,3.51
2004,3,15,7.0968,28.96,36.06,23.18,-999.0,2.89
2004,3,16,7.0654,29.2,36.87,23.04,-999.0,3.26
2004,3,17,7.1054,28.73,36.75,21.61,-999.0,3.49
2004,3,18,7.0226,29.13,37.05,22.66,-999.0,3.96
