-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2004 through 01/01/2025 in LST
Location: latitude  13.1697   longitude 80.2072 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,IMERG_PRECTOT,WS10M
2004,1,1,5.0707,24.49,28.06,22.12,-999.0,4.72
2004,1,2,4.8235,23.84,28.17,20.98,-999.0,4.19
2004,1,3,4.657,23.34,27.53,19.96,-999.0,4.49
2004,1,4,4.3802,23.82,27.96,20.5,-999.0,4.75
2004,1,5,4.331,24.14,27.79,21.31,-999.0,4.55
2004,1,6,4.303,24.55,28.49,21.77,-999.0,4.53
2004,1,7,4.7424,24.37,28.69,21.38,-999.0,4.84
2004,1,8,5.2438,24.16,28.86,20.95,-999.0,5.54
2004,1,9,4.9642,23.71,28.19,20.58,-999.0,5.95
2004,1,10,5.1984,23.87,28.38,20.84,-999.0,5.7
2004,1,11,5.3592,23.33,28.33,19.66,-999.0,4.53
2004,1,12,5.3124,23.32,28.58,19.48,-999.0,3.58
2004,1,13,5.3438,23.32,28.68,19.4,-999.0,3.54
2004,1,14,5.7238,23.52,29.39,19.22,-999.0,2.96
2004,1,15,5.809,23.77,29.39,19.96,-999.0,2.56
2004,1,16,5.8651,23.53,29.08,19.41,-999.0,2.84
2004,1,17,5.6306,23.6,29.17,19.31,-999.0,2.91
2004,1,18,5.7797,23.59,29.06,19.4,-999.0,2.81
2004,1,19,5.7269,23.63,28.92,20.37,-999.0,2.92
2004,1,20,5.6801,23.94,28.73,20.45,-999.0,3.32
2004,1,21,5.4521,24.77,29.59,21.41,-999.0,3.55
2004,1,22,5.551,25.18,29.82,22.0,-999.0,3.55
2004,1,23,5.3678,25.32,29.74,22.12,-999.0,3.93
2004,1,24,5.231,25.73,30.39,22.61,-999.0,3.82
2004,1,25,5.028,25.95,30.35,22.99,-999.0,3.43
2004,1,26,4.7854,24.64,26.77,23.2,-999.0,2.07
2004,1,27,3.761,25.77,29.99,22.72,-999.0,3.24
2004,1,28,5.4833,25.8,29.74,23.27,-999.0,4.53
2004,1,29,5.4866,26.04,30.34,23.15,-999.0,4.11
2004,1,30,5.4662,26.16,30.89,23.15,-999.0,3.57
2004,1,31,5.647,25.72,30.73,22.47,-999.0,3.05
2004,2,1,4.8,25.42,30.26,22.45,-999.0,2.52
2004,2,2,5.509,25.25,30.23,21.8,-999.0,3.47
2004,2,3,5.5099,25.67,30.82,22.04,-999.0,4.14
2004,2,4,5.3947,26.1,31.14,22.57,-999.0,3.89
2004,2,5,5.5296,26.35,31.26,22.8,-999.0,3.77
2004,2,6,5.6669,26.76,32.14,22.95,-999.0,3.48
2004,2,7,3.1486,26.66,30.87,24.11,-999.0,2.87
2004,2,8,5.5966,25.83,29.91,22.82,-999.0,4.28
2004,2,9,6.0602,25.31,30.53,21.52,-999.0,4.32
2004,2,10,6.0907,24.82,29.99,20.73,-999.0,4.51
2004,2,11,5.987,24.73,30.14,20.53,-999.0,3.87
2004,2,12,5.8853,24.93,30.41,21.0,-999.0,4.67
2004,2,13,6.1267,24.82,30.28,20.59,-999.0,5.38
2004,2,14,6.2926,25.01,30.53,20.62,-999.0,5.28
2004,2,15,6.1526,24.98,30.97,20.44,-999.0,4.03
2004,2,16,6.2698,24.82,30.77,20.25,-999.0,4.0
2004,2,17,6.2798,25.18,30.69,21.07,-999.0,4.24
2004,2,18,6.089,25.57,31.12,21.68,-999.0,3.95
2004,2,19,6.4111,25.79,32.43,20.98,-999.0,3.14
2004,2,20,6.199,25.96,32.51,21.03,-999.0,3.18
2004,2,21,6.2894,26.0,32.09,21.67,-999.0,3.44
