-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2004 through 01/01/2025 in LST
Location: latitude  11.3445   longitude 79.5286 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 56.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,IMERG_PRECTOT,WS10M
2004,1,1,2.7058,24.83,29.19,21.91,-999.0,4.79
2004,1,2,4.6853,24.49,29.58,21.05,-999.0,4.2
2004,1,3,5.0004,23.3,28.45,19.21,-999.0,4.31
2004,1,4,4.4664,23.88,29.11,19.87,-999.0,4.46
2004,1,5,4.0378,24.46,29.35,20.76,-999.0,3.85
2004,1,6,3.7382,24.71,29.58,21.17,-999.0,4.05
2004,1,7,3.7651,24.79,30.23,20.88,-999.0,4.52
2004,1,8,5.0251,24.42,30.38,20.06,-999.0,5.41
2004,1,9,5.0484,24.03,29.71,19.94,-999.0,6.03
2004,1,10,4.8593,24.18,30.17,19.71,-999.0,5.87
2004,1,11,6.0094,23.63,30.19,18.75,-999.0,4.75
2004,1,12,5.6376,23.44,30.19,17.86,-999.0,3.92
2004,1,13,5.88,23.84,30.68,18.46,-999.0,4.0
2004,1,14,6.0554,23.59,31.05,17.89,-999.0,3.62
2004,1,15,5.9028,23.73,30.99,18.23,-999.0,3.21
2004,1,16,6.0874,23.5,30.77,17.63,-999.0,3.42
2004,1,17,5.9758,23.52,31.09,17.43,-999.0,3.24
2004,1,18,5.2824,23.75,31.16,18.07,-999.0,3.29
2004,1,19,6.0667,23.79,30.65,18.23,-999.0,3.35
2004,1,20,5.8337,24.17,30.72,19.19,-999.0,3.69
2004,1,21,5.7442,24.84,31.28,20.24,-999.0,3.6
2004,1,22,5.7259,25.13,30.75,20.54,-999.0,3.05
2004,1,23,4.847,25.61,31.4,21.35,-999.0,3.48
2004,1,24,5.0638,26.4,32.42,22.19,-999.0,3.6
2004,1,25,5.388,26.49,32.5,22.29,-999.0,3.32
2004,1,26,4.8134,26.55,32.82,22.69,-999.0,1.93
2004,1,27,4.7827,26.48,32.02,23.13,-999.0,2.73
2004,1,28,5.0405,26.13,31.45,22.66,-999.0,3.96
2004,1,29,5.5728,26.33,32.39,22.22,-999.0,3.6
2004,1,30,5.3215,26.66,32.75,22.36,-999.0,3.1
2004,1,31,5.2303,26.3,32.74,21.91,-999.0,3.05
2004,2,1,4.5204,26.07,32.56,22.16,-999.0,2.47
2004,2,2,5.7206,25.67,32.34,21.09,-999.0,3.19
2004,2,3,5.676,26.42,33.33,21.4,-999.0,4.24
2004,2,4,5.963,26.63,33.24,22.34,-999.0,3.95
2004,2,5,5.8327,26.84,33.53,22.13,-999.0,3.67
2004,2,6,5.6916,27.58,34.58,22.54,-999.0,2.98
2004,2,7,5.0438,27.61,33.77,23.24,-999.0,2.78
2004,2,8,4.4239,26.52,30.95,23.2,-999.0,3.97
2004,2,9,5.5992,26.67,33.34,21.65,-999.0,4.22
2004,2,10,5.9393,25.98,32.74,20.59,-999.0,4.43
2004,2,11,6.2419,25.97,33.01,20.32,-999.0,4.07
2004,2,12,6.0802,26.49,33.1,21.69,-999.0,4.91
2004,2,13,6.437,25.99,32.99,21.01,-999.0,5.53
2004,2,14,6.5122,25.64,32.81,19.76,-999.0,5.79
2004,2,15,6.3487,25.6,33.03,19.36,-999.0,4.61
2004,2,16,6.6043,25.61,33.43,19.48,-999.0,4.59
2004,2,17,6.2657,25.31,32.48,19.31,-999.0,4.35
2004,2,18,6.3154,25.9,33.23,19.98,-999.0,3.88
2004,2,19,6.449,26.53,34.89,20.7,-999.0,3.29
2004,2,20,6.5498,26.27,34.42,20.58,-999.0,3.39
2004,2,21,6.5856,26.06,33.84,20.52,-999.0,3.87
2004,2,22,6.7954,26.0,33.76,19.84,-999.0,4.09
2004,2,23,6.8837,26.24,34.93,19.38,-999.0,3.5
2004,2,24,6.8477,26.25,34.77,19.51,-999.0,3.91
2004,2,25,6.7243,26.36,34.55,20.27,-999.0,3.24
2004,2,26,6.8837,26.5,35.07,20.21,-999.0,3.22
2004,2,27,6.8851,26.93,36.02,20.05,-999.0,2.93
2004,2,28,6.8717,26.55,35.85,19.92,-999.0,3.45
2004,2,29,7.1237,25.99,35.08,19.86,-999.0,2.76
2004,3,1,5.9998,26.52,35.13,19.56,-999.0,3.02
2004,3,2,6.3473,27.53,35.75,21.38,-999.0,3.31
2004,3,3,6.6019,27.5,34.19,21.64,-999.0,2.66
2004,3,4,6.8467,27.89,36.15,21.88,-999.0,3.02
2004,3,5,7.1196,26.99,36.16,21.03,-999.0,2.63
2004,3,6,7.165,26.99,36.29,20.28,-999.0,2.7
2004,3,7,6.948,27.26,36.56,20.35,-999.0,3.09
2004,3,8,6.3218,27.86,35.35,21.42,-999.0,4.01
2004,3,9,6.0866,28.61,34.63,24.71,-999.0,5.53
2004,3,10,6.2071,28.27,34.01,24.39,-999.0,4.24
2004,3,11,6.6917,28.6,35.93,23.31,-999.0,3.83
2004,3,12,6.3974,28.78,36.08,23.0,-999.0,3.85
2004,3,13,6.5558,29.06,35.63,24.41,-999.0,3.79
2004,3,14,6.6725,28.9,36.11,23.45,-999.0,4.24
2004,3,15,7.0238,28.74,36.78,22.3,-999.0,3.55
2004,3,16,6.9202,28.96,38.09,21.67,-999.0,3.45
2004,3,17,6.9802,29.56,38.36,21.98,-999.0,2.43
2004,3,18,6.9691,29.81,38.74,23.05,-999.0,2.89
2004,3,19,6.959,29.76,39.34,21.78,-999.0,3.19
2004,3,20,6.9571,30.11,39.31,22.35,-999.0,3.02
2004,3,21,6.7126,30.58,39.9,23.41,-999.0,3.21
2004,3,22,6.775,29.86,37.74,24.07,-999.0,3.38
2004,3,23,6.7306,30.61,39.63,23.39,-999.0,2.97
2004,3,24,6.6408,30.71,38.83,24.55,-999.0,2.99
2004,3,25,6.2815,31.34,40.15,24.99,-999.0,2.69
2004,3,26,6.1166,30.71,38.55,25.31,-999.0,3.05
2004,3,27,5.9083,30.39,37.28,25.38,-999.0,3.38
2004,3,28,5.8601,30.88,37.28,26.26,-999.0,3.18
2004,3,29,5.6467,31.6,37.79,26.72,-999.0,3.45
2004,3,30,5.7338,32.19,38.93,26.93,-999.0,4.22
2004,3,31,5.8606,31.93,38.72,26.85,-999.0,4.22
2004,4,1,6.3043,31.45,37.54,26.39,-999.0,3.43
2004,4,2,6.1457,30.37,34.33,27.02,-999.0,2.3
2004,4,3,6.2071,30.71,36.05,26.73,-999.0,3.1
2004,4,4,4.6798,30.13,34.33,26.13,-999.0,2.69
2004,4,5,6.1802,29.94,33.84,26.16,-999.0,2.31
2004,4,6,5.0722,30.61,35.23,26.48,-999.0,3.2
2004,4,7,6.3245,30.77,35.87,26.42,-999.0,3.13
2004,4,8,6.9019,31.93,38.3,26.58,-999.0,3.57
2004,4,9,7.0116,31.61,37.45,27.36,-999.0,3.4
2004,4,10,6.9386,31.5,38.76,26.21,-999.0,3.49
2004,4,11,7.1657,31.32,38.89,24.92,-999.0,3.22
2004,4,12,7.0114,32.01,39.45,26.21,-999.0,3.1
2004,4,13,7.1407,33.27,40.75,26.85,-999.0,3.96
2004,4,14,7.1443,33.91,42.09,27.28,-999.0,4.09
2004,4,15,7.0349,34.01,42.5,27.05,-999.0,4.78
2004,4,16,6.7721,34.3,42.32,27.95,-999.0,5.05
2004,4,17,6.8678,34.7,42.36,28.87,-999.0,4.7
2004,4,18,6.5892,34.74,42.89,27.76,-999.0,4.72
2004,4,19,6.8599,33.98,41.81,27.47,-999.0,4.34
2004,4,20,6.7358,32.68,39.76,27.47,-999.0,3.97
2004,4,21,6.6941,32.44,39.56,26.64,-999.0,3.78
2004,4,22,6.4992,32.25,39.54,26.79,-999.0,4.1
2004,4,23,6.7219,32.22,39.68,26.34,-999.0,3.8
2004,4,24,6.2196,31.03,36.39,27.04,-999.0,4.07
2004,4,25,6.984,31.25,37.52,26.44,-999.0,3.44
2004,4,26,6.7349,31.54,37.44,27.1,-999.0,3.4
2004,4,27,6.1646,31.03,36.12,26.89,-999.0,2.25
2004,4,28,6.6038,31.94,38.59,26.63,-999.0,3.42
2004,4,29,6.7925,32.24,39.38,26.88,-999.0,3.43
2004,4,30,6.7243,31.23,36.99,27.19,-999.0,3.24
2004,5,1,5.3494,30.81,36.66,27.25,-999.0,3.43
2004,5,2,2.1967,28.47,31.85,25.99,-999.0,3.65
2004,5,3,0.683,26.72,28.51,25.12,-999.0,7.39
2004,5,4,4.2521,27.24,29.54,25.78,-999.0,6.26
2004,5,5,3.923,27.35,29.0,26.04,-999.0,3.23
2004,5,6,5.5781,28.25,31.76,25.43,-999.0,4.22
2004,5,7,6.0041,28.51,32.69,25.35,-999.0,4.12
2004,5,8,6.3749,28.82,32.99,25.49,-999.0,2.31
2004,5,9,5.6126,28.14,31.49,25.22,-999.0,3.0
2004,5,10,6.4207,26.94,29.51,25.08,-999.0,2.33
2004,5,11,6.672,28.58,33.0,25.61,-999.0,3.45
2004,5,12,6.8801,29.66,34.35,25.46,-999.0,3.35
2004,5,13,6.9274,29.01,33.13,25.52,-999.0,3.62
2004,5,14,4.417,29.09,32.81,26.18,-999.0,2.74
2004,5,15,6.4294,28.24,30.94,25.95,-999.0,2.41
2004,5,16,5.9198,28.39,33.63,24.23,-999.0,4.46
2004,5,17,4.8,27.5,31.08,24.65,-999.0,4.66
2004,5,18,5.5831,28.53,33.85,24.41,-999.0,5.76
2004,5,19,6.5882,27.5,31.5,24.72,-999.0,6.02
2004,5,20,6.7296,28.91,33.89,24.6,-999.0,5.39
2004,5,21,7.1436,29.72,35.63,24.81,-999.0,5.26
2004,5,22,6.9022,29.62,35.11,25.18,-999.0,5.39
2004,5,23,6.7735,29.34,34.75,25.38,-999.0,4.18
2004,5,24,6.7265,28.82,33.54,24.67,-999.0,3.03
2004,5,25,6.3134,28.88,33.25,24.92,-999.0,2.82
2004,5,26,5.5555,27.93,31.43,25.08,-999.0,2.97
2004,5,27,5.6909,28.61,33.25,24.55,-999.0,2.76
2004,5,28,4.0786,27.86,31.35,25.09,-999.0,1.95
2004,5,29,4.9858,29.11,34.14,24.34,-999.0,1.76
2004,5,30,5.0892,28.09,31.39,25.37,-999.0,3.01
2004,5,31,5.885,28.11,31.23,25.22,-999.0,2.74
2004,6,1,5.5099,27.49,30.39,25.17,-999.0,3.3
2004,6,2,6.6358,27.62,31.07,25.05,-999.0,3.94
2004,6,3,6.4999,28.19,32.58,24.87,-999.0,4.63
2004,6,4,6.5652,28.28,32.59,24.36,-999.0,3.13
2004,6,5,5.712,27.75,31.94,24.72,-999.0,5.62
2004,6,6,6.2954,28.5,33.19,24.89,-999.0,3.51
2004,6,7,6.6048,28.56,33.54,24.53,-999.0,4.56
2004,6,8,6.0617,28.72,34.2,24.53,-999.0,5.31
2004,6,9,4.7808,27.47,32.24,24.24,-999.0,5.21
2004,6,10,4.4131,27.11,31.34,23.18,-999.0,5.77
2004,6,11,4.1254,28.17,33.45,23.65,-999.0,5.43
2004,6,12,4.1614,28.78,34.19,24.11,-999.0,6.07
2004,6,13,5.3378,29.13,34.85,24.56,-999.0,7.47
2004,6,14,4.8199,28.75,33.76,25.23,-999.0,7.38
2004,6,15,6.0893,28.63,33.66,24.47,-999.0,7.15
2004,6,16,6.1421,28.89,34.34,24.93,-999.0,6.78
2004,6,17,6.1661,28.98,34.83,24.38,-999.0,6.14
2004,6,18,5.3832,29.34,35.1,24.81,-999.0,6.6
2004,6,19,6.0982,28.92,34.59,23.98,-999.0,5.97
2004,6,20,6.0854,29.89,36.29,24.82,-999.0,5.81
2004,6,21,5.893,29.53,35.62,24.03,-999.0,4.91
2004,6,22,6.4315,30.16,36.8,24.21,-999.0,4.68
2004,6,23,6.7543,29.57,35.61,24.89,-999.0,4.62
2004,6,24,6.5609,30.86,37.34,25.51,-999.0,4.59
2004,6,25,6.6763,31.17,37.95,24.9,-999.0,3.83
2004,6,26,6.5422,31.35,37.37,26.18,-999.0,4.18
2004,6,27,6.3103,30.69,36.4,25.74,-999.0,3.93
2004,6,28,5.4696,30.45,35.89,25.76,-999.0,5.12
2004,6,29,6.1018,29.84,34.8,25.73,-999.0,4.71
2004,6,30,6.5299,30.12,35.07,25.62,-999.0,4.58
2004,7,1,6.2854,30.49,36.95,25.13,-999.0,5.97
2004,7,2,6.1022,29.96,35.74,24.34,-999.0,5.57
2004,7,3,5.5985,29.83,35.26,25.04,-999.0,5.02
2004,7,4,5.9093,29.68,34.93,25.15,-999.0,4.38
2004,7,5,6.325,29.19,33.77,25.05,-999.0,4.29
2004,7,6,6.2635,27.97,31.49,25.26,-999.0,2.61
2004,7,7,6.3722,28.74,33.27,24.9,-999.0,2.92
2004,7,8,5.5507,27.6,30.54,25.43,-999.0,2.33
2004,7,9,5.9935,27.3,31.01,24.52,-999.0,2.99
2004,7,10,6.1682,26.44,28.81,24.55,-999.0,3.14
2004,7,11,4.2401,27.01,31.03,24.25,-999.0,2.64
2004,7,12,3.5695,26.2,29.01,24.44,-999.0,3.74
2004,7,13,4.1863,26.84,31.18,22.78,-999.0,4.26
2004,7,14,4.3829,27.94,33.8,23.52,-999.0,5.14
2004,7,15,4.9531,28.34,33.39,24.43,-999.0,5.33
2004,7,16,5.9424,28.7,34.34,24.29,-999.0,4.22
2004,7,17,6.6838,29.41,35.17,23.94,-999.0,3.66
